dataset,model,fold_id,acc,f1_macro
ECG5000,Baseline(LogReg),0,0.934,0.532670535509709
ECG5000,Baseline(LogReg),1,0.926,0.5083890668072742
ECG5000,Baseline(LogReg),2,0.92,0.47253612274132106
ECG5000,Baseline(LogReg),3,0.933,0.4469829016352662
ECG5000,Baseline(LogReg),4,0.927,0.5136860817122049
ECG5000,Baseline(LogReg),5,0.937,0.526888718648186
ECG5000,Baseline(LogReg),6,0.924,0.478816192234056
ECG5000,Baseline(LogReg),7,0.931,0.5055920138084747
ECG5000,Baseline(LogReg),8,0.927,0.48209734186125414
ECG5000,Baseline(LogReg),9,0.921,0.4714061390756837
ECG5000,Baseline(LogReg),10,0.927,0.5301285340667541
ECG5000,Baseline(LogReg),11,0.921,0.41235079829644156
ECG5000,Baseline(LogReg),12,0.93,0.48503961257947215
ECG5000,Baseline(LogReg),13,0.937,0.49988079796287305
ECG5000,Baseline(LogReg),14,0.925,0.5314108208168551
ECG5000,TDA_single(LogReg),0,0.924,0.44304901667708413
ECG5000,TDA_single(LogReg),1,0.923,0.44324345899225126
ECG5000,TDA_single(LogReg),2,0.908,0.39169547938400395
ECG5000,TDA_single(LogReg),3,0.922,0.4290389019126651
ECG5000,TDA_single(LogReg),4,0.92,0.4548994227613562
ECG5000,TDA_single(LogReg),5,0.932,0.4786322232103547
ECG5000,TDA_single(LogReg),6,0.922,0.4230148845757359
ECG5000,TDA_single(LogReg),7,0.91,0.40865617186188247
ECG5000,TDA_single(LogReg),8,0.918,0.41365610384898066
ECG5000,TDA_single(LogReg),9,0.913,0.43099312046698496
ECG5000,TDA_single(LogReg),10,0.909,0.40690809657497484
ECG5000,TDA_single(LogReg),11,0.925,0.3999031822224636
ECG5000,TDA_single(LogReg),12,0.923,0.44066279000947495
ECG5000,TDA_single(LogReg),13,0.93,0.4441286441594826
ECG5000,TDA_single(LogReg),14,0.912,0.5270505822861175
ECG5000,TDA_multiscale(SVM),0,0.941,0.5540570758563726
ECG5000,TDA_multiscale(SVM),1,0.943,0.5566951089513001
ECG5000,TDA_multiscale(SVM),2,0.927,0.4870819867278054
ECG5000,TDA_multiscale(SVM),3,0.935,0.5696655985235337
ECG5000,TDA_multiscale(SVM),4,0.943,0.5912141676656464
ECG5000,TDA_multiscale(SVM),5,0.945,0.5772335708158258
ECG5000,TDA_multiscale(SVM),6,0.938,0.5438858342457877
ECG5000,TDA_multiscale(SVM),7,0.937,0.6027816000577242
ECG5000,TDA_multiscale(SVM),8,0.938,0.5530900610286835
ECG5000,TDA_multiscale(SVM),9,0.927,0.517772878730175
ECG5000,TDA_multiscale(SVM),10,0.942,0.5762277931900964
ECG5000,TDA_multiscale(SVM),11,0.931,0.4633511667830705
ECG5000,TDA_multiscale(SVM),12,0.939,0.5337603530873765
ECG5000,TDA_multiscale(SVM),13,0.939,0.5444432178457512
ECG5000,TDA_multiscale(SVM),14,0.935,0.6265233963608263
